T,Sa
0.01,0.36038072024127554
0.02,0.36303397189667946
0.03,0.3765813727259572
0.05,0.41097074230537717
0.075,0.509747469763677
0.1,0.6216851886816229
0.15,0.7679990189014121
0.2,0.8384456881346882
0.25,0.8594932778794465
0.3,0.8485196568305019
0.4,0.7747005159495375
0.5,0.6985706744131216
0.75,0.5096207033958411
1.0,0.3902247895303834
1.5,0.25081887565976535
2.0,0.1791584957376872
3.0,0.1105224546613824
4.0,0.0755916859137539
5.0,0.05512030032965032
7.5,0.02893599690289392
10.0,0.01701448136858723
