hazard_level,Mbar,Dbar,Ebar
hz_1,6.247858,45.136467,-0.3565718
hz_2,6.601211,28.22232,0.0051185405
hz_3,6.782385,21.991953,0.22856997
hz_4,6.890027,18.211988,0.38277256
hz_5,6.9627876,15.372036,0.5128593
hz_6,7.009892,13.321918,0.62350655
hz_7,7.0471525,11.54277,0.740758
hz_8,7.0727534,10.22772,0.8480374
hz_9,7.090749,9.257493,0.94404024
hz_10,7.1066875,8.36997,1.0496627
hz_11,7.1179605,7.7302175,1.1401514
hz_12,7.127195,7.2020497,1.2268682
hz_13,7.136213,6.6862597,1.325154
hz_14,7.1422005,6.3457866,1.3993614
hz_15,7.147895,6.0249395,1.477768
hz_16,7.153868,5.6929297,1.5695709
hz_17,7.158085,5.4621444,1.6412101
hz_18,7.161218,5.292929,1.6986259
hz_19,7.1654243,5.069137,1.7820885
hz_20,7.1691117,4.876243,1.8622073
hz_21,7.1718063,4.737295,1.9255123
hz_22,7.1738334,4.633797,1.976195
hz_23,7.175699,4.5392447,2.0254729
hz_24,7.1785917,4.393816,2.1076055
hz_25,7.180726,4.287048,2.1735487
